motor/temperature,motor/rpm,motor/current,motor/vibration/rmsX,motor/vibration/rmsY,motor/vibration/rmsZ,motor/vibration/crestX,motor/vibration/crestY,motor/vibration/crestZ
24.8,600,3.67,0.0068,0.0097,1.0255,1.5294,1.732,1.0364

24.8,600,3.67,0.0068,0.0097,1.0255,1.5294,1.732,1.0346

24.8,600,3.67,0.0068,0.0097,1.0255,1.5294,1.732,1.0346

24.8,600,3.67,0.0068,0.0097,1.0255,1.5294,1.732,1.0346

24.8,600,3.66,0.0068,0.0097,1.0255,1.5294,1.732,1.0346

24.8,600,3.66,0.0068,0.0097,1.0255,1.5294,1.732,1.0346

24.8,600,3.66,0.0068,0.0097,1.0255,1.5294,1.732,1.0346

24.8,600,3.66,0.0068,0.0097,1.0255,1.5294,1.732,1.0346

24.8,600,3.66,0.0068,0.0097,1.0255,1.4604,1.732,1.0346

24.8,600,3.66,0.0068,0.0097,1.0255,1.4604,1.6492,1.0346

24.8,600,3.66,0.0068,0.0097,1.0255,1.4604,1.6492,1.0359

24.8,620,3.66,0.0068,0.0097,1.0255,1.4604,1.6492,1.0359

24.78,620,3.66,0.0068,0.0097,1.0255,1.4604,1.6492,1.0359

24.78,620,3.67,0.0068,0.0097,1.0255,1.4604,1.6492,1.0359

24.78,620,3.67,0.0068,0.0097,1.0255,1.4604,1.6492,1.0359

24.78,620,3.67,0.0068,0.0097,1.0255,1.4604,1.6492,1.0359

24.78,620,3.67,0.0068,0.0097,1.0253,1.4604,1.6492,1.0359

24.78,620,3.67,0.0068,0.0097,1.0253,1.5897,1.6492,1.0359

24.78,620,3.67,0.0068,0.0097,1.0253,1.5897,1.6444,1.0359

24.78,620,3.67,0.0068,0.0097,1.0253,1.5897,1.6444,1.0341

24.78,640,3.67,0.0068,0.0097,1.0253,1.5897,1.6444,1.0341

24.79,640,3.67,0.0068,0.0097,1.0253,1.5897,1.6444,1.0341

24.79,640,3.63,0.0068,0.0097,1.0253,1.5897,1.6444,1.0341

24.79,640,3.63,0.0068,0.0097,1.0253,1.5897,1.6444,1.0341

24.79,640,3.63,0.0068,0.0097,1.0253,1.5897,1.6444,1.0341

24.79,640,3.63,0.0068,0.0097,1.025,1.5897,1.6444,1.0341

24.79,640,3.63,0.0068,0.0097,1.025,1.4807,1.6444,1.0341

24.79,640,3.63,0.0068,0.0097,1.025,1.4807,1.6678,1.0341

24.79,640,3.63,0.0068,0.0097,1.025,1.4807,1.6678,1.0338

24.79,640,3.63,0.0068,0.0097,1.025,1.4807,1.6678,1.0338

24.8,640,3.63,0.0068,0.0097,1.025,1.4807,1.6678,1.0338

24.8,640,3.66,0.0068,0.0097,1.025,1.4807,1.6678,1.0338

24.8,640,3.66,0.0068,0.0097,1.025,1.4807,1.6678,1.0338

24.8,640,3.66,0.0068,0.0096,1.025,1.4807,1.6678,1.0338

24.8,640,3.66,0.0068,0.0096,1.0249,1.4807,1.6678,1.0338

24.8,640,3.66,0.0068,0.0096,1.0249,1.4728,1.6678,1.0338

24.8,640,3.66,0.0068,0.0096,1.0249,1.4728,1.6546,1.0338

24.8,640,3.66,0.0068,0.0096,1.0249,1.4728,1.6546,1.0364

24.8,580,3.66,0.0068,0.0096,1.0249,1.4728,1.6546,1.0364

24.78,580,3.66,0.0068,0.0096,1.0249,1.4728,1.6546,1.0364

24.78,580,3.67,0.0068,0.0096,1.0249,1.4728,1.6546,1.0364

24.78,580,3.67,0.0068,0.0096,1.0249,1.4728,1.6546,1.0364

24.78,580,3.67,0.0068,0.0096,1.0249,1.4728,1.6546,1.0364

24.78,580,3.67,0.0068,0.0096,1.0249,1.4728,1.6546,1.0364

24.78,580,3.67,0.0068,0.0096,1.0249,1.5188,1.6546,1.0364

24.78,580,3.67,0.0068,0.0096,1.0249,1.5188,1.7101,1.0364

24.78,580,3.67,0.0068,0.0096,1.0249,1.5188,1.7101,1.0353

24.78,620,3.67,0.0068,0.0096,1.0249,1.5188,1.7101,1.0353

24.79,620,3.67,0.0068,0.0096,1.0249,1.5188,1.7101,1.0353

24.79,620,3.67,0.0068,0.0096,1.0249,1.5188,1.7101,1.0353

24.79,620,3.67,0.0069,0.0096,1.0249,1.5188,1.7101,1.0353

24.79,620,3.67,0.0069,0.0095,1.0249,1.5188,1.7101,1.0353

24.79,620,3.67,0.0069,0.0095,1.0247,1.5188,1.7101,1.0353

24.79,620,3.67,0.0069,0.0095,1.0247,1.455,1.7101,1.0353

24.79,620,3.67,0.0069,0.0095,1.0247,1.455,1.6445,1.0353

24.79,620,3.67,0.0069,0.0095,1.0247,1.455,1.6445,1.0359

24.79,640,3.67,0.0069,0.0095,1.0247,1.455,1.6445,1.0359

24.8,640,3.67,0.0069,0.0095,1.0247,1.455,1.6445,1.0359

24.8,640,3.67,0.0069,0.0095,1.0247,1.455,1.6445,1.0359

24.8,640,3.67,0.0069,0.0095,1.0247,1.455,1.6445,1.0359

24.8,640,3.67,0.0069,0.0094,1.0247,1.455,1.6445,1.0359

24.8,640,3.67,0.0069,0.0094,1.0256,1.455,1.6445,1.0359

24.8,640,3.67,0.0069,0.0094,1.0256,1.7673,1.6445,1.0359

24.8,640,3.67,0.0069,0.0094,1.0256,1.7673,1.6702,1.0359

24.8,640,3.67,0.0069,0.0094,1.0256,1.7673,1.6702,1.0359

24.8,600,3.67,0.0069,0.0094,1.0256,1.7673,1.6702,1.0359

24.81,600,3.67,0.0069,0.0094,1.0256,1.7673,1.6702,1.0359

24.81,600,3.67,0.0069,0.0094,1.0256,1.7673,1.6702,1.0359

24.81,600,3.67,0.0069,0.0094,1.0256,1.7673,1.6702,1.0359

24.81,600,3.67,0.0069,0.0095,1.0256,1.7673,1.6702,1.0359

24.81,600,3.67,0.0069,0.0095,1.0251,1.7673,1.6702,1.0359

24.81,600,3.67,0.0069,0.0095,1.0251,1.6513,1.6702,1.0359

24.81,600,3.67,0.0069,0.0095,1.0251,1.6513,1.7024,1.0359

24.81,600,3.67,0.0069,0.0095,1.0251,1.6513,1.7024,1.0333

24.81,640,3.67,0.0069,0.0095,1.0251,1.6513,1.7024,1.0333

24.82,640,3.67,0.0069,0.0095,1.0251,1.6513,1.7024,1.0333

24.82,640,3.66,0.0069,0.0095,1.0251,1.6513,1.7024,1.0333

24.82,640,3.66,0.0069,0.0095,1.0251,1.6513,1.7024,1.0333

24.82,640,3.66,0.0069,0.0094,1.0251,1.6513,1.7024,1.0333

24.82,640,3.66,0.0069,0.0094,1.0254,1.6513,1.7024,1.0333

24.82,640,3.66,0.0069,0.0094,1.0254,1.4854,1.7024,1.0333

24.82,640,3.66,0.0069,0.0094,1.0254,1.4854,1.7065,1.0333

24.82,640,3.66,0.0069,0.0094,1.0254,1.4854,1.7065,1.0352

24.82,640,3.66,0.0069,0.0094,1.0254,1.4854,1.7065,1.0352

24.81,640,3.66,0.0069,0.0094,1.0254,1.4854,1.7065,1.0352

24.81,640,3.66,0.0069,0.0094,1.0254,1.4854,1.7065,1.0352

24.81,640,3.66,0.0069,0.0094,1.0254,1.4854,1.7065,1.0352

24.81,640,3.66,0.0069,0.0093,1.0254,1.4854,1.7065,1.0352

24.81,640,3.66,0.0069,0.0093,1.0255,1.4854,1.7065,1.0352

24.81,640,3.66,0.0069,0.0093,1.0255,1.4385,1.7065,1.0352

24.81,640,3.66,0.0069,0.0093,1.0255,1.4385,1.6608,1.0352

24.81,640,3.66,0.0069,0.0093,1.0255,1.4385,1.6608,1.0358

24.81,580,3.66,0.0069,0.0093,1.0255,1.4385,1.6608,1.0358

24.82,580,3.66,0.0069,0.0093,1.0255,1.4385,1.6608,1.0358

24.82,580,3.64,0.0069,0.0093,1.0255,1.4385,1.6608,1.0358

